Entry ID,Jurisdiction ,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group"
NS111,N.S.,2020-07-30,2020-08-09,State of emergency,State of emergency,"Who: Minister of Municipal Affairs and Housing
What: Extended the provincial state of emergency
Effective until: 2020-08-23",https://novascotia.ca/coronavirus/docs/Ministers-renewal-Aug-9-Aug-23.pdf,Not applicable,Provincial/territorial,No
NS112,N.S.,2020-06-30,2020-07-03,Health workforce,Health workforce — safety guidelines,"Who: Provincial Dental Board of Nova Scotia
What: Released guidelines for dental offices to provide comprehensive (emergent, urgent and non-urgent) dental treatment in their offices
Effective until: ",http://pdbns.ca/uploads/publications/COVID-19_PDBNS_Reopening_Plan_for_Dentistry-_July_3%2C_2020.pdf,Not applicable,Provincial/territorial,No
NS113,N.S.,2020-06-01,2020-06-05,Health workforce,Health workforce — safety guidelines,"Who: Nova Scotia Dietetic Association
What: Released guidelines for dietitians for returning to in-person nutrition care services 
Effective until: ",https://www.nsdassoc.ca/images/media/documents/NS_Dietitians_pandemic_practice_directive_July_2020.pdf,Not applicable,Provincial/territorial,No
NS114,N.S.,2020-06-22,2020-06-22,Health workforce,Health workforce — safety guidelines,"Who: Nova Scotia College of Optometrists
What: Released return to work safety guidelines for optometrists
Effective until: 
",https://nsco.in1touch.org/document/6057/NSCO%20AND%20NSAO%20GUIDELINES%20June%2022%202020_final.pdf,Not applicable,Provincial/territorial,No
NS115,N.S.,2020-06-05,2020-06-05,Health workforce,Health workforce — safety guidelines,"Who: College of Occupational Therapists of Nova Scotia 
What: Released directives for private sector occupational therapists for resuming non-urgent/elective practice
Effective until:",https://cotns.ca/covid-19-updates/,https://cotns.ca/assets/Standards-and-guidelines/COTNS-COVID-19-Plan-Final-May-29.pdf,Provincial/territorial,No
NS116,N.S.,2020-06-04,2020-06-30,Health workforce,Health workforce — safety guidelines,"Who: Nova Scotia Board of Examiners in Psychology 
What: Released guidelines for safe return to in-person practice for psychologists 
Effective until:",https://www.nsbep.org/return-to-in-person-work-guidelines/,http://nsbep.org/downloads/NSBEP_Returninperson_practice_20200604.pdf,Provincial/territorial,No
NT001,N.W.T.,2020-02-05,2020-02-05,Public information,Public information — launch of web page/resource,"Who: Minister of Health and Social Services
What: Launched a dedicated government webpage for COVID-19; Started a general communication campaign through social media and traditional media including newspapers and radio ads to raise awareness about the virus",https://www.gov.nt.ca/en/newsroom/diane-thom-2019-novel-coronavirus-update,Not applicable,Provincial/territorial,No
NT002,N.W.T.,No data,2020-03-02,Contextual information,Contextual information — holiday,"Who: Department of Education, Culture and Employment
What: Spring breaks in N.W.T. vary by region.
Effective until: 2020-04-17",https://nwtta.nt.ca/sites/default/files/2019-2020_nwt_school_calendars.pdf,Not applicable,Provincial/territorial,No
NT004,N.W.T.,2020-03-12,2020-03-12,Case management,Case management — assessment centres,"Who: Northwest Territories Health and Social Services Authority 
What: Opened assessment centre in Yellowknife 
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-nthssa-%E2%80%93-operational-response-covid-19-preparedness,Not applicable,Provincial/territorial,No
NT005,N.W.T.,2020-03-12,2020-03-12,Case management,Case management — test criteria,"Who: Northwest Territories Health and Social Services Authority 
What: Published advice on whether or not to seek medical care to ensure that testing is reserved for most at risk population
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-nthssa-%E2%80%93-operational-response-covid-19-preparedness,Not applicable,Provincial/territorial,No
NT007,N.W.T.,2020-03-12,2020-03-12,Health services,Health services — visitors,"Who: Northwest Territories Health and Social Services Authority 
What: Facilities implemented visitor screening to ensure people are being protected. 
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-nthssa-%E2%80%93-operational-response-covid-19-preparedness,Not applicable,Provincial/territorial,No
NT008,N.W.T.,2020-03-16,2020-03-16,Closures,Closures — education,"Who: Government of the Northwest Territories
What: Closure of public elementary, middle and high schools; child care programs all remain open and are not recommended to close.
Effective until: 2020-04-14",https://www.ece.gov.nt.ca/en/services/education-culture-and-employment-covid-19-updates/information-jk-12-schools,Not applicable,Provincial/territorial,No
NT009,N.W.T.,2020-03-16,2020-03-16,Closures,Closures — recreation,"Who: Government of the Northwest Territories
What: Closed all arts and culture services
Effective until:",https://www.ece.gov.nt.ca/en/services/education-culture-and-employment-covid-19-updates,Not applicable,Provincial/territorial,No
NT010,N.W.T.,2020-03-16,2020-03-16,Health services,Health services — visitors,"Who: Northwest Territories Health and Social Services Authority 
What: Restricted number of visitors to long-term care facilities to 1 per visit and any with symptoms denied entry.
Effective until: 2020-03-17",https://www.nthssa.ca/en/newsroom/visitor-restrictions-long-term-care-and-acute-care-sites,Not applicable,Provincial/territorial,No
NT011,N.W.T.,2020-03-17,2020-03-17,Distancing,Distancing — gatherings,"Who: Chief Public Health Officer
What: Prohibited gatherings of more than 50 people with the exemption of large retail and grocery 
Effective until:",https://www.hss.gov.nt.ca/en/newsroom/all-mass-gatherings-50-people-or-over-should-be-cancelled,Not applicable,Provincial/territorial,No
NT012,N.W.T.,2020-03-17,2020-03-17,Health services,Health services — visitors,"Who: Northwest Territories Health and Social Services Authority 
What: Restricted acute care visitors to 1 person per visit. 
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-march-17th-nthssa-operational-update,Not applicable,Provincial/territorial,No
NT013,N.W.T.,2020-03-17,2020-03-17,Health services,Health services — visitors,"Who: Northwest Territories Health and Social Services Authority 
What: Suspended all long-term care visits.
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-march-17th-nthssa-operational-update,Not applicable,Provincial/territorial,No
NT014,N.W.T.,2020-03-17,2020-03-17,Health services,Health services — delayed medical procedures ,"Who: Northwest Territories Health and Social Services Authority 
What: Limited non-urgent medical travel to Alberta, delayed non-urgent endoscopy procedures
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-march-17th-nthssa-operational-update,Not applicable,Provincial/territorial,No
NT015,N.W.T.,2020-03-18,2020-03-18,State of emergency,State of emergency,"Who: Government of the Northwest Territories, Ministry of Health and Social Services
What: Declared a public health state of emergency 
Effective until: 2020-04-01",https://www.gov.nt.ca/en/newsroom/news-release-public-health-emergency-declared-northwest-territories,https://www.gov.nt.ca/en/newsroom/news-release-state-emergency-declared-northwest-territories,Provincial/territorial,No
NT016,N.W.T.,2020-03-19,2020-03-19,Distancing,Distancing — work from home,"Who: Chief Public Health Officer
What: All government employees transitioned to working from home. Other employers encouraged to facilitate where possible. 
Effective until:",https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19/information-employers-and-businesses,https://www.wscc.nt.ca/news/coronavirus-covid-19-%E2%80%93-update-employers-and-workers,Provincial/territorial,No
NT017,N.W.T.,2020-03-19,2020-03-19,Health services,Health services — delayed medical procedures ,"Who: Northwest Territories Health and Social Services Authority 
What: All non-urgent and non-emergency surgeries suspended. Other health services suspended as well.
Effective until:",https://www.nthssa.ca/en/newsroom/public-notice-nthssa-service-changes-march-19-2020,Not applicable,Provincial/territorial,No
NT020,N.W.T.,2020-03-20,2020-03-21,Travel,Travel — self-isolation,"Who: Chief Public Health Officer
What: Residents returning to N.W.T. from outside N.W.T. are required to self-isolate for 14 days. Implemented that all individuals will have to complete a self-isolation plan. 
Effective until:",https://www.gov.nt.ca/en/newsroom/news-release-chief-public-health-officer-prepares-order-prohibition-travel-nwt-limited,Not applicable,Provincial/territorial,No
NT021,N.W.T.,2020-03-21,2020-03-21,Case management,Case management — self-isolation,"Who: Chief Public Health Officer
What: Published self-isolation information sheet with guidance for travellers, symptomatic and confirmed cases in 1 of 4 towns: Yellowknife, Inuvik, Hay River and Fort Smith
Effective until:",https://www.hss.gov.nt.ca/sites/hss/files/resources/self-isolation-information-sheet.pdf,Not applicable,Provincial/territorial,No
NT022,N.W.T.,2020-03-22,2020-03-22,Distancing,Distancing — gatherings,"Who: Chief Public Health Officer
What: Prohibited gatherings of all sizes
Effective until: ",https://www.hss.gov.nt.ca/en/newsroom/all-gatherings-are-advised-cancel-effective-immediately,Not applicable,Provincial/territorial,No
NT023,N.W.T.,2020-03-22,2020-03-22,Closures,Closures — recreation,"Who: Chief Public Health Officer
What: Closed tour operators, bottle depots, fitness centres, museums and art galleries, theatres, personal service establishments
Effective until:",https://www.hss.gov.nt.ca/en/newsroom/all-gatherings-are-advised-cancel-effective-immediately,Not applicable,Provincial/territorial,No
NT024,N.W.T.,2020-03-22,2020-03-22,Closures,Closures — non-essential services,"Who: Chief Public Health Officer
What: Closed bars and buffet style restaurants 
Effective until:",https://www.hss.gov.nt.ca/en/newsroom/all-gatherings-are-advised-cancel-effective-immediately,Not applicable,Provincial/territorial,No
NT025,N.W.T.,No data,2020-03-22,Case management,Case management — online assessment,"Who: Government of the Northwest Territories
What: Launched a self-assessment online tool
Effective until:",https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19/nwt-online-covid-19-self-assessment-tool,Not applicable,Provincial/territorial,No
NT026,N.W.T.,2020-03-17,2020-03-23,Closures,Closures — education,"Who: Government of the Northwest Territories
What: Closure of post-secondary education institutions
Effective until:",https://www.gov.nt.ca/en/program-and-service-availability-during-covid-19,https://www.myyellowknifenow.com/47094/aurora-college-all-classes-suspended-starting-march-23rd/ ,Provincial/territorial,No
NT027,N.W.T.,2020-03-25,2020-03-25,Closures,Closures — education,"Who: District Education Authorities, Minister of Education, Culture, and Employment, Northwest Territories Teachers’ Association
What: Closure of public elementary, middle and high schools for remainder of school year
Effective until: 2020-09",https://www.ece.gov.nt.ca/en/services/education-culture-and-employment-covid-19-updates/information-jk-12-schools,Not applicable,Provincial/territorial,No
NT028,N.W.T.,2020-03-14,2020-03-14,Case management,Case management — self-isolation,"Who: Chief Public Health Officer
What: Released guide for public on self-monitoring for symptoms
Effective until:",https://www.hss.gov.nt.ca/sites/hss/files/resources/covid-19-self-monitoring-handout.pdf,Not applicable,Provincial/territorial,No
NT029,N.W.T.,2020-03-21,2020-03-21,Travel,Travel — self-isolation,"Who: Chief Public Health Officer 
What: Exempted essential workers who are critical to preserving life, health and basic societal functioning from travel self-isolation orders
Effective until:",https://www.wscc.nt.ca/news/covid-19-and-workplace-general-precautions-and-risk-assessment-northwest-territories,Not applicable,Provincial/territorial,No
NT030,N.W.T.,2020-03-23,2020-03-23,Health services,Health services — telemedicine/virtual care,"Who: Government of the Northwest Territories
What: Immediately provided virtual care options to support care in remote communities, to reduce the need to travel for care and to replace in-person appointments with telemedicine. This included physicians, optometrists, social workers, registered nurses, licensed practical nurses, nurse practitioners and midwives.
Effective until: ",https://www.gov.nt.ca/en/newsroom/northwest-territories-health-and-social-services-authority-introducing-new-care-options,https://www.nthssa.ca/en/services/virtual-care-during-covid-19-pandemic,Provincial/territorial,No
NT031,N.W.T.,2020-03-27,2020-03-24,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Declared a territorial state of emergency
Effective until: 2020-04-07",https://www.gov.nt.ca/en/newsroom/news-release-state-emergency-declared-northwest-territories,Not applicable,Provincial/territorial,No
NT032,N.W.T.,2020-03-20,2020-03-21,Travel,Travel — restrictions,"Who: Government of the Northwest Territories
What: Orders that travel through all points of entry into N.W.T. is prohibited with exceptions (e.g., residents, supply chain, essential services). 
Effective until:",https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,Not applicable,Provincial/territorial,No
NT036,N.W.T.,2020-04-01,2020-04-01,State of emergency,State of emergency,"Who: Government of the Northwest Territories, Ministry of Health and Social Services
What: Extended the public health state of emergency
Effective until: 2020-04-15",https://www.gov.nt.ca/en/newsroom/public-health-emergency-renewed-minister-thom,Not applicable,Provincial/territorial,No
NT037,N.W.T.,2020-04-06,2020-04-06,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended the territorial state of emergency
Effective until: 2020-04-15",https://www.gov.nt.ca/en/newsroom/state-emergency-extended-northwest-territories,Not applicable,Provincial/territorial,No
NT038,N.W.T.,2020-04-07,2020-04-07,Public information,Public information — masks,"Who: Chief Public Health Officer, Government of the Northwest Territories
What: Published recommendations for wearing homemade masks in public spaces
Effective until:",https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,Not applicable,Provincial/territorial,No
NT039,N.W.T.,2020-04-08,2020-04-08,Distancing,Distancing — other,"Who: Government of the Northwest Territories
What: Established taskforce (N.W.T. Compliance and Enforcement Taskforce) for enforcing public health orders in 33 communities
Effective until: ",https://www.gov.nt.ca/en/newsroom/enforcement-taskforce-beef-protection-nwt-residents,https://www.gov.nt.ca/sites/flagship/files/documents/cv19_nwt_compliance_and_enforcement_taskforce_eng.pdf,Provincial/territorial,No
NT040,N.W.T.,2020-04-09,2020-04-09,Closures,Closures — recreation,"Who: Minister of Finance
What: Issued a statement that liquor services will not be closed by the territorial government. However, some limitations and prohibitions were put into place at the community level and those will not be lifted. Decisions will remain at the community level.
Effective until:",https://www.gov.nt.ca/en/newsroom/caroline-wawzonek-news-conference-liquor-regulations,https://www.gov.nt.ca/en/newsroom/restrictions-liquor-sales-during-covid-19-state-emergency,Provincial/territorial,No
NT041,N.W.T.,2020-04-10,2020-04-10,Closures,Closures — recreation,"Who: Department of Industry, Tourism, and Investment
What: Postponed the opening of territorial parks
Effective until: ",https://www.gov.nt.ca/en/newsroom/news-release-opening-northwest-territories-parks-delayed,Not applicable,Provincial/territorial,No
NT042,N.W.T.,2020-04-10,2020-04-11,Distancing,Distancing — gatherings,"Who: Chief Public Health Officer
What: Issued bans on all indoor gatherings with the exception of people who live in the same household. No visitors inside any home. Gatherings of fewer than 10 can occur outside at a physical distance (at least 2 metres distance).
Effective until: ",https://www.gov.nt.ca/en/newsroom/two-new-orders-nwt-chief-public-health-officer-strengthen-response-covid-19-pandemic,https://www.gov.nt.ca/sites/flagship/files/documents/pa_-_new_orders_covid-19_gatherhingsbackgrounderen_final.pdf,Provincial/territorial,No
NT043,N.W.T.,2020-04-10,2020-04-11,Closures,Closures — non-essential services,"Who: Chief Public Health Officer
What: Issued legal order to enforce business closures and assign business into red (closed), green (open) and yellow (caution) categories. New yellow categories include takeout, corner stores and big retail (e.g., Canadian Tire).
Effective until: ",https://www.gov.nt.ca/en/newsroom/two-new-orders-nwt-chief-public-health-officer-strengthen-response-covid-19-pandemic,https://www.gov.nt.ca/sites/flagship/files/documents/pa_-_new_orders_covid-19_gatherhingsbackgrounderen_final.pdf,Provincial/territorial,No
NT044,N.W.T.,2020-04-15,2020-04-15,State of emergency,State of emergency,"Who: Government of the Northwest Territories, Ministry of Health and Social Services
What: Extended the public health state of emergency
Effective until: 2020-04-28",https://www.gov.nt.ca/en/newsroom/territorial-public-health-emergency-and-state-emergency-have-been-extended,https://www.gov.nt.ca/en/covid-19-coronavirus-disease,Provincial/territorial,No
NT045,N.W.T.,2020-04-15,2020-04-15,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended the territorial state of emergency
Effective until: 2020-04-28",https://www.gov.nt.ca/en/newsroom/territorial-public-health-emergency-and-state-emergency-have-been-extended,https://www.gov.nt.ca/en/covid-19-coronavirus-disease,Provincial/territorial,No
NT047,N.W.T.,2020-04-16,2020-04-16,Case management,Case management — test criteria,"Who: Office of the Chief Public Health Officer, Government of the Northwest Territories
What: Published testing criteria to include anyone with a fever ≥ 38.0°C OR new onset (or exacerbated chronic) cough OR dyspnea; AND 2 or more other symptoms
Effective until:",https://www.hss.gov.nt.ca/professionals/sites/professionals/files/resources/nwt_ocpho_2019-ncov-identify_algorithm.pdf,https://www.hss.gov.nt.ca/professionals/sites/professionals/files/resources/covid-19-exposure-algorithm.pdf,Provincial/territorial,No
NT048,N.W.T.,2020-04-16,2020-04-16,Case management,Case management — case definition,"Who: Office of the Chief Public Health Officer, Government of the Northwest Territories
What: Published case definition, which aligns with the national case definition
Effective until:",https://www.hss.gov.nt.ca/professionals/sites/professionals/files/resources/covid-19-exposure-algorithm.pdf,Not applicable,Provincial/territorial,No
NT049,N.W.T.,2020-04-17,2020-04-17,Health services,Health services — equipment,"Who: Taiga Environmental Laboratory (Government of the Northwest Territories)
What: Announced manufacturing and issuing of hand sanitizer for front-line workers.
Effective until: ",https://www.gov.nt.ca/en/newsroom/taiga-lab-provides-hand-sanitizer-gnwt-frontline-workers,Not applicable,Provincial/territorial,No
NT050,N.W.T.,2020-04-17,2020-04-17,Public information,Public information — launch of web page/resource,"Who: Government of the Northwest Territories
What: Launched Service NWT COVID Support Line so residents can use 1 easy number to reach the established self-isolation, enforcement and regional centre accommodations lines
Effective until: ",https://www.gov.nt.ca/en/newsroom/service-nwt-covid-support-line-launches,Not applicable,Provincial/territorial,No
NT051,N.W.T.,2020-03-23,No data,Case management,Case management — assessment centres,"Who: Health and Social Services, Government of the Northwest Territories 
What: Creating an in-car screening clinic at the Yellowknife Primary Care site
Effective until: 
",https://www.gov.nt.ca/en/newsroom/northwest-territories-health-and-social-services-authority-introducing-new-care-options,Not applicable,Regional,No
NT052,N.W.T.,No data,No data,Closures,Closures — daycares,"Who: Government of the Northwest Territories, Education, Culture and Employment
What: Daycares are not recommended to close at this time due to the necessity of child care. 
Effective until:",https://www.ece.gov.nt.ca/en/services/education-culture-and-employment-covid-19-updates/information-licensed-early-learning-and,Not applicable,Provincial/territorial,No
NT053,N.W.T.,2020-03-25,2020-03-25,Closures,Closures — recreation,"Who: Government of the Northwest Territories
What: May close select park events, tours and attractions until further notice. No notices for park closures (parks services only open from May to Sept). 
Effective until:",https://www.gov.nt.ca/en/public-safety-notices,https://www.nwtparks.ca/,Provincial/territorial,No
NT054,N.W.T.,No data,No data,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Registered Nurses Association of the Northwest Territories and Nunavut 
What: Waived or modified registration requirements for former registered nurses and nurse practitioners, allowing them to apply for temporary registration during the pandemic 
Effective until:",https://www.rnantnu.ca/about/covid-19/,Not applicable,Provincial/territorial,No
NT055,N.W.T.,2020-04-27,2020-04-27,Travel,Travel — self-isolation,"Who: Government of the Northwest Territories
What: Updated order on travel restrictions and self-isolation protocol on infrastructure workers employed by the Government of the Northwest Territories, municipal governments, Indigenous governments and organizations and corrections officers returning to the N.W.T. to implement self-isolation, symptom declarations and other accountability and tracking measures
Effective until:
",https://www.hss.gov.nt.ca/sites/hss/files/resources/public-health-order-covid-19-travel-restrictions-self-isolation-protocol-amended-april-27-2020.pdf,https://www.gov.nt.ca/sites/flagship/files/documents/backgrounder_newrequirementsesw_final_en.pdf,Provincial/territorial,Yes
NT056,N.W.T.,2020-04-22,No data,Closures,Closures — education,"Who: Government of the Northwest Territories, Minister of Education
What: Schools across N.W.T. distributed learning packages to students for at-home use.
Effective until:",https://www.gov.nt.ca/en/newsroom/minister-and-education-leaders-meet-share-progress-continued-learning-during-covid-19,Not applicable,Provincial/territorial,No
NT059,N.W.T.,2020-04-24,2020-04-24,Case management,Case management — test criteria,"Who: Government of the Northwest Territories
What: Expanded test criteria to include those with a general feeling of unease, muscle aches, fatigue, sore throat, runny nose, headache, diarrhea, vomiting and loss of smell
Effective until:",https://www.gov.nt.ca/en/newsroom/gnwt-expands-covid-19-testing,Not applicable,Provincial/territorial,No
NT061,N.W.T.,2020-04-27,2020-04-27,Health services,Health services — equipment,"Who: Government of the Northwest Territories, Department of Industry, Tourism and Investment
What: Released funding for businesses and artists to make personal protective equipment including masks and hand sanitizer. Up to $1,000 for the purchase of materials for non-medical masks and $25,000 for the purchase of materials and equipment for medical grade products.
Effective until:",https://www.gov.nt.ca/en/newsroom/funding-available-nwt-businesses-manufacture-personal-protective-equipment-ppe,Not applicable,Provincial/territorial,No
NT062,N.W.T.,2020-04-28,2020-04-29,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended public health state of emergency
Effective until: 2020-05-12",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency,Not applicable,Provincial/territorial,No
NT063,N.W.T.,2020-04-28,2020-04-29,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended territorial state of emergency
Effective until: 05-12-2020",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency,Not applicable,Provincial/territorial,No
NT064,N.W.T.,2020-03,2020-03,Health workforce,Health workforce — licence reinstatement/reclassification,"Who: Government of the Northwest Territories 
What: Announced recruitment call for locum and permanent health and social services professionals for work during the COVID-19 pandemic and waived N.W.T. Emergency Licensing Temporary Register costs
Effective until:",https://www.practicenwt.ca/en/locums-covid,Not applicable,Provincial/territorial,No
NT065,N.W.T.,2020-03-22,2020-03-22,Closures,Closures — non-essential services,"Who: Chief Public Health Officer
What: Closed personal service establishments
Effective until:",https://www.hss.gov.nt.ca/en/newsroom/all-gatherings-are-advised-cancel-effective-immediately,Not applicable,Provincial/territorial,No
NT067,N.W.T.,2020-05-12,2020-05-12,Public information,Public information — pandemic response plans,"Who: Government of the Northwest Territories
What: Released reopening plan entitled Emerging Wisely
Effective until:",https://www.gov.nt.ca/en/newsroom/path-eased-public-health-restrictions-set-gnwt,https://www.gov.nt.ca/sites/flagship/files/documents/emerging_wisely.pdf,Provincial/territorial,No
NT068,N.W.T.,2020-05-12,2020-05-12,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended public health state of emergency
Effective until: 2020-05-26",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-0,Not applicable,Provincial/territorial,No
NT069,N.W.T.,2020-05-12,2020-05-12,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended state of emergency
Effective until: 2020-05-26",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-0,Not applicable,Provincial/territorial,No
NT070,N.W.T.,2020-05-14,2020-05-14,Closures,Closures — education,"Who: Minister of Education, Culture and Employment, the NWT Teachers’ Association 
What: Closed schools for the remainder of the school year
Effective until: 2020-08",https://www.gov.nt.ca/en/newsroom/nwt-education-leaders-agree-keep-schools-closed-remainder-2019-20-school-year-0,Not applicable,Provincial/territorial,No
NT071,N.W.T.,2020-05-15,2020-05-15,Openings,Openings — recreation,"Who: Government of the Northwest Territories
What: Opened golf courses, some recreational facilities, museums, art galleries, libraries, beaches, boat launches, day-use areas at parks, outdoor kitchen shelters and playgrounds with limited capacity and restrictions in place; resumed outdoor recreational sports except for rugby 
Effective until:",https://www.gov.nt.ca/en/newsroom/phase-one-eased-public-health-measures-begins,https://www.gov.nt.ca/sites/flagship/files/documents/emerging_wisely.pdf,Provincial/territorial,No
NT072,N.W.T.,2020-05-15,2020-05-15,Openings,Openings — non-essential services,"Who: Government of the Northwest Territories
What: Permitted farmers' markets to open with limited capacity; opened personal service establishments
Effective until:",https://www.gov.nt.ca/en/newsroom/phase-one-eased-public-health-measures-begins,https://www.gov.nt.ca/sites/flagship/files/documents/emerging_wisely.pdf,Provincial/territorial,No
NT073,N.W.T.,2020-05-15,2020-05-15,Distancing,Distancing — gatherings,"Who: Government of the Northwest Territories
What: Increased the limit on outdoor gatherings to 25 people or fewer; increased the limit on indoor gatherings to 10 people or fewer; each household can have up to 5 people they do not live with come over and be inside their house, to a maximum of 10 people in total inside the house at any time
Effective until:",https://www.gov.nt.ca/en/newsroom/phase-one-eased-public-health-measures-begins,https://www.gov.nt.ca/sites/flagship/files/documents/emerging_wisely.pdf,Provincial/territorial,No
NT076,N.W.T.,2020-05-26,2020-05-27,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended public health state of emergency
Effective until: 2020-06-09",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-1,Not applicable,Provincial/territorial,No
NT077,N.W.T.,2020-05-26,2020-05-27,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended state of emergency
Effective until: 2020-06-09",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-1,Not applicable,Provincial/territorial,No
NT079,N.W.T.,2020-05-20,2020-05-20,Travel,Travel — restrictions,"Who: Government of the Northwest Territories, Infrastructure
What: Implemented restrictions on highway ferries to reduce number of passengers and enhance cleaning and sanitization processes to allow for reopening when the water is safe to do so
Effective until: ",https://www.gov.nt.ca/en/newsroom/ferry-operating-hours-lengthened-response-relaxed-covid-19-restrictions,Not applicable,Provincial/territorial,No
NT080,N.W.T.,2020-06-03,2020-06-08,Public information,Public information — masks,"Who: Government of the Northwest Territories, Health and Social Services
What: Advised public to bring their own non-medical mask for flights in order to comply with Transport Canada regulations 
Effective until: ",https://www.gov.nt.ca/en/newsroom/travelling-plane-youll-need-bring-your-own-non-medical-mask,Not applicable,Provincial/territorial,No
NT081,N.W.T.,No data,No data,Case management,Case management — assessment centres,"Who: Government of the Northwest Territories
What: Drive-through COVID-19 testing site established at Aurora College Centre for Mine and Industry Training 
Effective until: ",https://www.gov.nt.ca/en/newsroom/rj-simpson-aurora-college-covid-19-response-and-beyond,Not applicable,Provincial/territorial,No
NT082,N.W.T.,2020-05-29,No data,Case management,Case management — test criteria,"Who: Government of the Northwest Territories
What: Began voluntary testing of asymptomatic health care workers coming in to N.W.T.; does not recommend asymptomatic testing for other individuals at this time 
Effective until: ",https://www.gov.nt.ca/covid-19/en/testing-northwest-territories,https://www.gov.nt.ca/covid-19/sites/covid/files/resources/covid19-testing-nwt.pdf,Provincial/territorial,No
NT083,N.W.T.,2020-06-09,2020-09-01,Openings,Openings — education,"Who: Minister of Education
What: Announced that fall 2020 programming for Aurora College will be delivered by distance learning
Effective until: ",https://www.gov.nt.ca/en/newsroom/rj-simpson-aurora-college-covid-19-response-and-beyond,Not applicable,Provincial/territorial,No
NT084,N.W.T.,2020-06-09,2020-06-10,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended the public health state of emergency
Effective until: 2020-06-23",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-2,Not applicable,Provincial/territorial,No
NT085,N.W.T.,2020-06-09,2020-06-10,State of emergency,State of emergency,"Who: Government of the Northwest Territories
What: Extended the territorial state of emergency
Effective until: 2020-06-23",https://www.gov.nt.ca/en/newsroom/gnwt-extends-territorial-public-health-emergency-and-state-emergency-2,Not applicable,Provincial/territorial,No
NT086,N.W.T.,2020-06-09,2020-06-12,Openings,Openings — recreation,"Who: Government of the Northwest Territories
What: Permitted territorial park campgrounds to open
Effective until: ",https://www.gov.nt.ca/en/newsroom/northwest-territories-parks-reservations-set-open-tomorrow,Not applicable,Provincial/territorial,No
NT087,N.W.T.,2020-06-10,2020-05-29,Travel,Travel — restrictions,"Who: Government of the Northwest Territories
What: Amended border control measures to allow Canadian travellers into N.W.T., rather than turning them back, provided they seek an exceptional circumstances exemption and adhere to self-isolation rules while waiting for approval. This will further allow for tourism in the territory.
Effective until: ",https://www.gov.nt.ca/en/newsroom/media-statement-statement-clarifying-public-health-restrictions-travel-within-nwt,Not applicable,Provincial/territorial,No
NT088,N.W.T.,2020-06-12,2020-06-12,Distancing,Distancing — gatherings,"Who: Government of the Northwest Territories
What: Increased the limit on indoor gatherings to 25 people or fewer (if they are not inside a household) and outdoor gatherings to 50 people or fewer, provided physical distancing measures are in place
Effective until: ",https://www.gov.nt.ca/en/newsroom/phase-two-emerging-wisely-launches-travel-restrictions-amended,https://www.gov.nt.ca/covid-19/en/services/relaxing-phase-2-next-steps-current-phase,Provincial/territorial,No
